location,price,beds,baths,house_size,land_size,New,Garden,Security,AC,Near Service,Stories,Parking,Luxury,Pantry,Hot Water,Roller Gate,CCTV,Tiled,Designed,TV Lobby
26,30000000,4,2,2600,11,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0
3,7500000,3,2,1200,4.4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,14000000,3,2,1288,8,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0
16,18000000,2,2,1500,7,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0
16,22000000,4,3,2850,8,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0
9,18000000,4,2,2537,6.3,1,1,1,0,1,2,1,1,1,0,1,1,1,0,0
31,32000000,3,2,2000,6.1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
1,26000000,4,2,2700,13,0,0,0,0,1,2,1,0,1,0,0,0,0,0,1
1,10000000,2,1,700,7.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
11,30000000,3,3,2500,11,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0
31,42000000,5,4,3455,12.25,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
22,7200000,3,2,2500,11.5,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0
32,127500000,5,4,9000,18,1,0,0,0,0,3,1,0,1,0,0,0,0,0,0
32,39000000,5,5,4000,10,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
17,21500000,4,3,2850,6,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
9,8000000,2,2,1800,6,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0
18,12500000,3,3,1200,7,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0
7,22000000,4,2,1100,13,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
24,80000000,9,4,5000,20,0,1,0,0,0,2,1,1,1,0,0,0,0,0,0
17,18000000,4,4,2200,7,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0
7,25000000,5,3,2725,12,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0
22,16000000,4,2,2100,6,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0
8,16000000,4,2,2100,6,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
23,56000000,9,7,4500,10,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
18,29000000,4,4,3000,6,0,1,0,0,0,3,1,0,1,0,0,0,0,0,0
17,21000000,4,4,2450,7,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0
17,30000000,4,4,2900,8,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0
17,19000000,3,3,2400,10,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0
17,20000000,4,4,2500,10,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0
9,11000000,3,3,1400,9,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
1,10000000,2,1,700,7.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
17,33000000,6,6,3800,12,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0
17,24000000,4,4,2900,7,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0
9,27000000,5,4,5480,12.8,1,0,0,0,0,2,1,0,1,0,0,0,0,1,0
1,27000000,5,4,5408,12.8,1,1,0,0,0,2,1,0,1,0,0,0,0,1,0
18,16500000,3,2,2200,7.1,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0
17,16000000,3,2,1600,10,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0
24,29000000,5,2,1600,7,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
9,6400000,2,1,1000,6,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0
24,40000000,4,3,3000,14,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
33,9500000,3,1,1600,7,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
31,40000000,3,3,2400,14.5,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0
3,4000000,2,2,1000,1.7,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0
17,28000000,4,5,3500,6,1,1,1,0,1,3,1,1,1,0,1,1,1,0,0
17,68000000,6,6,5300,21,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1
11,12000000,4,2,1976,6.85,0,0,0,0,0,3,1,1,1,0,0,0,0,0,1
32,55000000,3,3,2000,20,0,1,0,1,0,1,1,1,1,0,1,0,0,1,0
8,12500000,4,3,1850,9,1,1,0,0,1,2,1,0,1,0,0,0,0,0,0
31,42000000,4,3,2980,8,1,1,0,0,0,1,1,1,1,1,1,0,0,1,0
11,28000000,6,4,3650,12.5,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0
17,15500000,6,3,2500,12,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
24,28000000,4,2,2000,7,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
22,13000000,4,2,1550,7,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0
8,12800000,3,1,1200,7.5,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0
17,7200000,2,1,1000,6,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
